Model,Input,TF-TRT,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge,images/sec,99th_percentile(ms),total_time(s),latency_mean(ms),latency_median(ms),latency_min(ms)
CenterNet HourGlass104,512x512,Native FP32,0.38471348915749287,0.5641394001183825,0.41155364911099107,0.19815694269957884,0.4250309862464122,0.5273961877594279,0.32476382978648927,0.5269840829054964,0.5559417781677566,0.33273125984416174,0.6055687068458883,0.7411893094130377,9.953910943000876,103.96099090576172,497.401305437088,100.48511220951272,100.3941297531128,96.65513038635254
CenterNet HourGlass104 Keypoints,512x512,Native FP32,0.36732564228366055,0.5459768467581426,0.3891299439093611,0.1822606095732985,0.40337033012944207,0.5113930027632637,0.3131513214720074,0.5060281595836382,0.5334157227125615,0.3140521815831526,0.5742402332389193,0.7255547687250709,9.183827192073487,112.75601387023926,539.1131045818329,108.91173829936018,108.84284973144531,103.86300086975098
CenterNet HourGlass104,1024x1024,Native FP32,0.39758519043186646,0.56453914139179,0.43570054099228867,0.247185859250505,0.43932038150893526,0.5134910674934138,0.33625713449726247,0.5584388182732585,0.5965322265279047,0.40475271472836044,0.6334201256171298,0.7556019400233871,3.5986600466059184,281.68249130249023,1375.5555033683777,277.89000068048034,277.82976627349854,273.7393379211426
CenterNet HourGlass104 Keypoints,1024x1024,Native FP32,0.3848170407520837,0.5512896137381423,0.4204090113843769,0.22896823588143872,0.4219678107031675,0.5130491937138987,0.32891754894425246,0.5422475532275244,0.5781356660644554,0.3850205209238833,0.6151383667849849,0.7407364862767875,3.3342718968481684,304.78525161743164,1484.6481235027313,299.9289138389356,299.9204397201538,293.44916343688965
CenterNet Resnet50 V1 FPN,512x512,Native FP32,0.275935822324346,0.4374503581514917,0.29119568508919014,0.11664229586128817,0.32513315068938187,0.40571718035517074,0.26978858499218256,0.43338998402109247,0.4545481853749579,0.22945289893030235,0.4926205478003995,0.6483442318094419,26.99921125273574,40.48323631286621,183.40837860107422,37.05219769718671,36.895751953125,35.91322898864746
CenterNet Resnet50 V1 FPN Keypoints,512x512,Native FP32,0.2575985137380892,0.4209620021230145,0.27303119528280523,0.10990518211305116,0.29607689141275406,0.38343477911832097,0.25524659250702714,0.4115975098916478,0.43088786190075595,0.2173848775100966,0.46711469490314583,0.6127953505031969,23.524370431945393,46.62346839904785,210.56350469589233,42.53808175674593,42.4652099609375,39.26849365234375
CenterNet Resnet101 V1 FPN,512x512,Native FP32,0.3127763877440268,0.4788020403344509,0.33005857560335,0.12093280188380753,0.34924156315032084,0.467138361037316,0.29122158759389566,0.45412732248181387,0.47256801855509695,0.229270757896948,0.5060603936041328,0.6922749272039082,21.208486914619154,50.10032653808594,233.4609453678131,47.16382734703295,47.0045804977417,45.74775695800781
CenterNet Resnet50 V2,512x512,Native FP32,0.2623207995816659,0.4156818738800173,0.27756389507793916,0.09946317799441329,0.3153782364201641,0.3923036851088925,0.2632550178490194,0.4143813454035816,0.43272655189833276,0.18335856757302085,0.4758705633423698,0.6531981422559495,27.18923608096661,40.145158767700195,182.1513433456421,36.7982511809378,36.57948970794678,35.45999526977539
CenterNet Resnet50 V2 Keypoints,512x512,Native FP32,0.2449423026006451,0.40070995040871943,0.2558714530304066,0.08996752148924865,0.2896707340359698,0.38165047287985726,0.2503815932616138,0.3955091968369676,0.4120054984942406,0.17636451386813184,0.4513926656306842,0.6300413623973679,23.62673029410285,46.74530029296875,209.6968216896057,42.36299428072843,42.22893714904785,38.7723445892334
CenterNet\ MobileNetV2\ FPN,512x512,Native FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CenterNet\ MobileNetV2\ FPN\ Keypoints,512x512,Native FP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EfficientDet D0,512x512,Native FP32,0.3281948450635108,0.516172048364473,0.3442289801847269,0.14353995133363126,0.36891023879730833,0.5021627565103267,0.2868361710076081,0.4410941665196195,0.4686766867381627,0.2315754360005857,0.5319097768557194,0.6798240836674218,6.87709252329196,171.2338924407959,723.6075327396393,146.18333994740186,145.53070068359375,116.06383323669434
EfficientDet D1,640x640,Native FP32,0.3663455607854785,0.5599987497928525,0.38808556711666986,0.16967585878539432,0.40646479259520496,0.5431109737132368,0.30959039569028435,0.4820639484475136,0.5123498317259996,0.27796680818578456,0.5664887121986596,0.7137554781821333,4.766427108248346,239.87460136413574,1042.141503572464,210.53363708534624,210.2292776107788,169.27266120910645
EfficientDet D2,768x768,Native FP32,0.39837213509139796,0.5944730669240588,0.42392189008737907,0.20983370359363496,0.44407339228932086,0.5610460141495962,0.33203112380783595,0.5173908055029077,0.5507165394671294,0.3364298980313528,0.6014714785356632,0.7392109521606165,3.6692538966930126,310.9240531921387,1353.4373195171356,273.4216807105325,273.0008363723755,226.12714767456055
EfficientDet D3,896x896,Native FP32,0.4247874529182766,0.6218990259336304,0.4539752056657653,0.247589834082691,0.4635585887636378,0.5835318695479124,0.3412465759155945,0.5433561392776568,0.5780968728973087,0.3731344592782251,0.6257567621923057,0.7501210236439063,2.814817874091338,397.0487117767334,1762.7323548793793,356.10754644027867,355.44776916503906,291.69487953186035
EfficientDet D4,1024x1024,Native FP32,0.4564506737100115,0.6627379175565785,0.4898363041037661,0.29166885860649006,0.5000573621266199,0.6152924518999092,0.35685957335356977,0.5692696199223999,0.6053605928922394,0.43061251348581936,0.6512152177255618,0.7689896160937185,1.974803407985184,566.6275024414062,2513.316328525543,507.7406724294027,507.63964653015137,413.9676094055176
EfficientDet D5,1280x1280,Native FP32,0.46140295396334835,0.6663567350990554,0.497402759706437,0.2962752061542302,0.5064024359316704,0.6081405680616185,0.35911448324089307,0.5819953340577577,0.6190187007285135,0.4429989783635072,0.6638609347340466,0.7716809806208889,1.2131829805163414,899.0120887756348,4086.0439393520355,825.4634220913202,824.6952295303345,716.7129516601562
EfficientDet D6,1280x1280,Native FP32,0.4659741110633339,0.6704157277836339,0.5018805113089265,0.3129463505223169,0.5148963092902696,0.603305365076995,0.36239162272440467,0.5882033092326675,0.6254919982377711,0.4584932521622489,0.670483922634212,0.7761312867194644,1.0192410592594268,1067.9328441619873,4863.006685495377,982.425593029369,981.3331365585327,853.4433841705322
EfficientDet D7,1536x1536,Native FP32,0.47746097945147137,0.681363138304042,0.5119256833712718,0.317405496775769,0.5206584212615526,0.6285719387151454,0.36720184606674267,0.5942872333952856,0.6317011732115353,0.464921072776717,0.6760158173279441,0.78707691444967,0.8437975118441482,1303.4541606903076,5875.764018058777,1187.023033951268,1186.0069036483765,1009.1192722320557
SSD MobileNet v2,320x320,Native FP32,0.2001974055691228,0.3455209488552215,0.1991333408896673,0.02295287116854156,0.17242377837015568,0.41339291085322727,0.21248543771454748,0.32513424518903244,0.34441057899369976,0.06860346625355868,0.3513316315394369,0.6543036418129762,21.135929634059572,54.143428802490234,234.74992275238037,47.4242268186627,47.17063903808594,39.79945182800293
SSD MobileNet V1 FPN,640x640,Native FP32,0.2867463458605301,0.46108608820069646,0.30521567466985383,0.13139112373635498,0.3125449209280092,0.4150535840574671,0.2682502604951033,0.4337617951563813,0.4685115010717425,0.23851533413082673,0.5102599962400691,0.6622407734267619,6.792365300258333,161.468505859375,730.1232552528381,147.4996475258259,147.63057231903076,123.17085266113281
SSD MobileNet V2 FPNLite,320x320,Native FP32,0.2209675673729551,0.3725358894281665,0.22809984858647858,0.05120805253641281,0.23394664241220253,0.3849049814293029,0.21772651616922126,0.3361648520918095,0.362189673830784,0.07768227810788447,0.4180581180996433,0.6083403052871674,14.051957677118565,80.6424617767334,353.1262607574463,71.33863853685783,71.1129903793335,61.30242347717285
SSD MobileNet V2 FPNLite,640x640,Native FP32,0.2768920858826407,0.4609952564050049,0.29151353871874247,0.11505148163225849,0.30394256538776043,0.41049773094406794,0.25452639689120327,0.40667576025647906,0.4384625128305888,0.2121402678817659,0.4830666740922103,0.6271758554278707,7.503797443514407,146.80027961730957,661.0509762763977,133.54565177300964,133.5623264312744,111.32097244262695
SSD ResNet50 V1 FPN RetinaNet50,640x640,Native FP32,0.33700085491908455,0.5180052976001063,0.3663183868076262,0.15518340654212004,0.37059081980067077,0.4950629088738595,0.2989478678601365,0.47369959830384956,0.5093941014688211,0.2728332097243235,0.5592853325556778,0.7162812686615183,6.462117376253681,167.23132133483887,766.8707582950592,154.92338551415338,154.86609935760498,137.56728172302246
SSD ResNet50 V1 FPN RetinaNet50,1024x1024,Native FP32,0.3758058958704021,0.569548860936722,0.4029328733921051,0.1970664713511621,0.4118013059604194,0.5087436015053854,0.3200345672972765,0.5143314555792103,0.5498249549867072,0.3385356106107071,0.5833490516021131,0.7270437386245799,3.226001016687114,328.87768745422363,1535.5103249549866,310.20410605151244,310.34183502197266,265.1951313018799
SSD ResNet101 V1 FPN RetinaNet101,640x640,Native FP32,0.3503118860559361,0.5318355038402709,0.38113978053936515,0.16123491049355623,0.3911989815657551,0.5085437626357857,0.3059510591297393,0.4847219671188297,0.5194180569745379,0.28010320520955667,0.5695708435917919,0.7261741938753883,6.150283718872088,178.44533920288086,806.1720654964447,162.8630435346353,162.9631519317627,141.33501052856445
SSD ResNet101 V1 FPN RetinaNet101,1024x1024,Native FP32,0.3876179509082906,0.580296051090952,0.42084094740102057,0.20601310665953457,0.4245097736316545,0.5307787971824979,0.3255001701713011,0.521475255471912,0.5563654087080847,0.3437282213517111,0.5974102168913134,0.7397881423396586,3.072937003751395,346.32349014282227,1612.0986285209656,325.67649061029607,325.7063627243042,282.58275985717773
SSD ResNet152 V1 FPN RetinaNet152,640x640,Native FP32,0.34849048240623276,0.5282814159338026,0.37664179100757944,0.15815745416619761,0.38550314173942096,0.5101736289411107,0.3039973102502751,0.4806133347579615,0.5161918442204062,0.27734893522916443,0.572457947249483,0.7176083415081154,5.645380730184726,190.03033638000488,877.6091916561127,177.2947861931541,177.24144458770752,157.1981906890869
SSD ResNet152 V1 FPN RetinaNet152,1024x1024,Native FP32,0.388962663240474,0.5811916221626494,0.4210204096358237,0.20659511662021735,0.4252559495342242,0.5317656213762603,0.3261412392914273,0.5213670598396466,0.5579780792185806,0.34018046025407583,0.5981933230427394,0.7404154391363836,2.798509721570038,376.8758773803711,1769.7100522518158,357.5171822730941,357.4720621109009,310.8179569244385
Faster R-CNN ResNet50 V1,640x640,Native FP32,0.279433670615077,0.45811562726616895,0.2932028359449968,0.09300502903102138,0.3066048516158486,0.4526956659434005,0.2659770429055295,0.41959847188894434,0.448031163336464,0.19988752325227582,0.49645124078970676,0.6908834577877155,10.62019414894944,101.60350799560547,466.65506625175476,94.27375075793024,94.49779987335205,82.64350891113281
Faster R-CNN ResNet50 V1,1024x1024,Native FP32,0.30660190266506054,0.5012099645037666,0.3190214584266534,0.14252163702996992,0.3684393959230508,0.444189774694365,0.2782158949385014,0.45220548593661547,0.4862752813089348,0.2841166991233463,0.5519989598567057,0.6701340018671772,8.906833313201581,123.05164337158203,556.7476089000702,112.4742644242566,112.64407634735107,99.89523887634277
Faster R-CNN ResNet50 V1,800x1333,Native FP32,0.26662278825569186,0.4575440574342955,0.27142865515361025,0.15546329345271367,0.3323712642273946,0.3505005069391022,0.24449070586427538,0.4138979467071038,0.43612311306296603,0.2681789012355006,0.4903171539617819,0.5830337439898535,8.461507330716447,126.5263557434082,585.6432683467865,118.31177138318918,118.55053901672363,106.99772834777832
Faster R-CNN ResNet101 V1,640x640,Native FP32,0.3020121910764058,0.4811448864699961,0.31753297928521246,0.10364165819024417,0.33197955521182754,0.4734534507793383,0.28099365820452005,0.4372283960617223,0.4648874798900563,0.21786942027233056,0.5177920021014405,0.6914728992007891,9.636574344147729,111.11736297607422,514.1332759857178,103.865308279943,103.85453701019287,93.7047004699707
Faster R-CNN ResNet101 V1,1024x1024,Native FP32,0.36562235748939254,0.5593911433784737,0.38875757066233607,0.1759415097212721,0.4082158356376131,0.5394706764991175,0.3198083732299576,0.5044708784585314,0.5391438772888614,0.3317516227214538,0.585291812868214,0.739587845925253,7.596052857272617,141.17002487182617,652.3381462097168,131.78548408277106,131.68013095855713,120.63121795654297
Faster R-CNN ResNet101 V1,800x1333,Native FP32,0.31453591384728635,0.5114893881594518,0.32728133552144784,0.16430925425119808,0.37057930419396007,0.414987938233263,0.2718094638577273,0.453858183492822,0.4784915360104317,0.2839339828520337,0.535967614173735,0.6328641677779353,6.526730659123264,161.33427619934082,758.8650984764099,153.30608050028482,153.50377559661865,142.76790618896484
Faster R-CNN ResNet152 V1,640x640,Native FP32,0.31157181830387193,0.4902788635576981,0.327374578895813,0.10890358807346408,0.3435824619306936,0.4948617058561727,0.2870503271264775,0.44798191554008865,0.47772000807776666,0.22931892633734777,0.532529193844922,0.7031009137060817,8.659430737262957,122.7719783782959,572.029687166214,115.56155296287152,115.47541618347168,106.29653930664062
Faster R-CNN ResNet152 V1,1024x1024,Native FP32,0.36864165697440665,0.5571919711638502,0.39193377549048686,0.16902969895746534,0.4137661432025814,0.5449137866130422,0.32521367975923404,0.5118826234315005,0.5465244129701103,0.3301155826677629,0.5942058011528851,0.7457526013206395,6.457252720258774,164.56270217895508,767.1453683376312,154.97886229043056,154.82556819915771,142.25125312805176
Faster R-CNN ResNet152 V1,800x1333,Native FP32,0.3274944599360385,0.5231464728344862,0.34772847867816464,0.1726257347117476,0.37862136205849756,0.4372550399125039,0.28361534778875225,0.46495649332172845,0.4887697778081767,0.29890097088157974,0.5421786187707588,0.6447657661510168,5.277755916059178,197.5228786468506,938.2452094554901,189.54448675868488,189.63944911956787,178.73883247375488
Faster R-CNN Inception ResNet V2,640x640,Native FP32,0.36887225570701654,0.5614721725689662,0.3883218353581378,0.153825573930455,0.4130219054192293,0.5593204184147258,0.3178654523354154,0.4911249085962504,0.5152699919471797,0.26900754241056757,0.5704735409611575,0.7396660535796358,2.7063829996997693,378.48877906799316,1829.190072774887,369.53334803533073,369.4326877593994,359.22837257385254
Faster R-CNN Inception ResNet V2,1024x1024,Native FP32,0.36018655769492436,0.5732519552524438,0.3788071393536595,0.16473298596933475,0.4046524198536397,0.5253712816192604,0.3098035749214213,0.47985968848034255,0.504981730356116,0.2882523090381836,0.5542833396845328,0.6981727552276683,2.3527559150762727,432.5411319732666,2104.0349826812744,425.0575722588433,424.93510246276855,415.03071784973145
Mask R-CNN Inception ResNet V2,1024x1024,Native FP32,0.37937231093997353,0.5915319689707904,0.40589999003396615,0.18705000323070947,0.4227270010775893,0.5382374609050279,0.31864081797511434,0.497616310494656,0.5228261408080488,0.3116000221573067,0.5721860289887674,0.7105286690240336,2.4305232806089765,551.5196323394775,2048.510021686554,413.84040842152604,402.4468660354614,389.7109031677246
